"NAME","EYE","ALIVE","APPEARANCES","FIRST APPEARANCE","HAIR","SEX","ALIGN","ID","SECRET"
"Batman","Blue Eyes","Living Characters","3093","1939, May","Black Hair","Male Characters","Good Characters","Secret Identity","c74d7bc6-2625-4100-9e24-316b2dfed7ad"
"Superman","Blue Eyes","Living Characters","2496","1986, October","Black Hair","Male Characters","Good Characters","Secret Identity","306d4916-f75e-4af8-a3a9-33ae1c1e2a52"
"Green Lantern","Brown Eyes","Living Characters","1565","1959, October","Brown Hair","Male Characters","Good Characters","Secret Identity","7af30940-43eb-4c42-b134-7c635cc7ed6f"
"James Gordon","Brown Eyes","Living Characters","1316","1987, February","White Hair","Male Characters","Good Characters","Public Identity","d0903d56-387c-4607-92c6-41541675dcec"
"Richard Grayson","Blue Eyes","Living Characters","1237","1940, April","Black Hair","Male Characters","Good Characters","Secret Identity","9301aede-8524-4695-b9ca-338c19a6e066"
"Wonder Woman","Blue Eyes","Living Characters","1231","1941, December","Black Hair","Female Characters","Good Characters","Public Identity","c83a6524-ae31-45d8-861b-5646e5ecbe2e"
"Aquaman","Blue Eyes","Living Characters","1121","1941, November","Blond Hair","Male Characters","Good Characters","Public Identity","c9e414f5-1fde-4432-be11-06c81380d189"
"Timothy Drake","Blue Eyes","Living Characters","1095","1989, August","Black Hair","Male Characters","Good Characters","Secret Identity","bd276a13-8cdb-48ef-ba08-97155ae32e29"
"Dinah Laurel Lance","Blue Eyes","Living Characters","1075","1969, November","Blond Hair","Female Characters","Good Characters","Public Identity","0134c764-2186-4c83-99b6-b36544a43646"
"Flash","Blue Eyes","Living Characters","1028","1956, October","Blond Hair","Male Characters","Good Characters","Secret Identity","98cc5e53-e56f-4353-9b23-07c1aca7e1ff"
"GenderTest","Blue Eyes","Living Characters","1028","1956, October","Blond Hair","Female Characters","Good Characters","Secret Identity","8dffd42c-798b-40ac-b6b7-5c377bbfa239"
"Alan Scott","Blue Eyes","Deceased Characters","969","1940, July","Blond Hair","Male Characters","Good Characters","Secret Identity","e799e1d0-bffd-4687-85bb-b07e3ce5ec30"
"Barbara Gordon","Blue Eyes","Living Characters","951","1967, January","Red Hair","Female Characters","Good Characters","Secret Identity","5c20706d-2e10-4eb9-8c9c-c81fdc021685"
"Jason Garrick","Blue Eyes","Living Characters","951","1940, January","Brown Hair","Male Characters","Good Characters","Public Identity","d692733a-31ee-49c1-a995-a44374891d8f"
"Lois Lane","Blue Eyes","Living Characters","934","1938, June","Black Hair","Female Characters","Good Characters","Public Identity","99fe075f-f7e8-44cb-87b0-4480b93b6aa9"
"Alfred Pennyworth","Blue Eyes","Living Characters","930","1943, April","Black Hair","Male Characters","Good Characters","Public Identity","664e8b16-1b0f-4925-893c-ca011845bc54"
"Carter Hall","Blue Eyes","Living Characters","803","1940, January","Brown Hair","Male Characters","Good Characters","Secret Identity","5ff8aa16-9b24-4b32-9f2b-30f267185d67"
"Kyle Rayner","Green Eyes","Living Characters","716","1994, January","Black Hair","Male Characters","Good Characters","Secret Identity","9abcfeac-71e5-40c8-8a55-e6f1c4480e5e"
"Raymond Palmer","Brown Eyes","Living Characters","706","1961, October","","Male Characters","Good Characters","Public Identity","f0c38211-c8c3-4d7f-8ea5-b71f51a23956"
"Alexander Luthor","Green Eyes","Living Characters","677","1986, October","","Male Characters","Bad Characters","Public Identity","9467e6f6-3d8b-495f-b329-b509fa748768"
"Roy Harper","Green Eyes","Living Characters","654","1941, November","Red Hair","Male Characters","Neutral Characters","Secret Identity","3806271a-931a-4fe7-8578-004bd55c78b2"
"Kara Zor-L","Blue Eyes","Living Characters","635","1976, February","Blond Hair","Female Characters","Good Characters","Secret Identity","50d1f97c-3af1-4141-a58f-dd7863b25b19"
"Ted Grant","Blue Eyes","Living Characters","605","1942, January","Black Hair","Male Characters","","Secret Identity","6c7f7f40-7a7c-4205-9541-4c57ecbd271b"
"Garfield Logan","Green Eyes","Living Characters","595","1965, November","Green Hair","Male Characters","Good Characters","Public Identity","95d48476-7aa0-476c-9842-d279c8f9a03c"
"Guy Gardner","Blue Eyes","Living Characters","593","1968, March","Red Hair","Male Characters","Good Characters","Public Identity","554d04f1-6bdc-449d-ba57-4fc41b51dd5e"
"Victor Stone","Brown Eyes","Living Characters","584","1980, October","Black Hair","Male Characters","Good Characters","Public Identity","756fdcc9-d687-4279-a948-07710b85e42e"
"Kon-El","Blue Eyes","Living Characters","560","1993, June","Black Hair","Male Characters","Good Characters","Secret Identity","8e874e2c-2f5b-4400-904e-4101dc16dfdf"
"Ralph Dibny","Blue Eyes","Deceased Characters","558","1960, May","Red Hair","Male Characters","","Public Identity","9ff1cdf5-bab2-4365-a729-8abb63edbbf3"
"James Olsen","Green Eyes","Living Characters","557","1986, October","Red Hair","Male Characters","Good Characters","Public Identity","b484ac32-435c-4be2-8fa1-68e8863e2574"
"John Stewart","Brown Eyes","Living Characters","549","1971, December","Black Hair","Male Characters","Good Characters","Public Identity","506372ee-f39f-4546-bfc5-4ce49b898463"
"Joker","Green Eyes","Living Characters","517","1940, June","Green Hair","Male Characters","Bad Characters","Secret Identity","8d3d3847-9d71-4e80-9853-465ce9aacfa9"
"Franklin Rock","Blue Eyes","Living Characters","492","1959, April","","Male Characters","Good Characters","Public Identity","458c6d8d-cda0-4c0c-b1da-87ade8a86f99"
"Garth","Purple Eyes","Deceased Characters","487","1960, February","Black Hair","Male Characters","Good Characters","Public Identity","5f525a5c-2b55-48ef-b751-18fb5eaf2441"
"Rex Mason","Black Eyes","Living Characters","470","1965, January","","Male Characters","","Secret Identity","bf15ffc7-2347-45f5-9b45-0fe455c7bb1a"
"Zatanna Zatara","Blue Eyes","Living Characters","439","1964, November","Black Hair","Female Characters","Good Characters","Public Identity","9273924a-fc0e-490a-9c30-d40e043f2f49"
"Aztar","White Eyes","Living Characters","436","1940, February","","Male Characters","","Secret Identity","028b7b60-a49e-41a0-924d-3cc32c145441"
"Theodore Kord","Blue Eyes","Deceased Characters","429","1986, February","Brown Hair","Male Characters","","Secret Identity","5a26c906-df71-45ef-8607-40e654f6e477"
"Michael Jon Carter","Blue Eyes","Living Characters","427","1986, February","Blond Hair","Male Characters","Good Characters","Public Identity","c8af2df6-2db3-4c18-83a6-3f908b0dfb89"
"Cassandra Sandsmark","Blue Eyes","Living Characters","423","1996, January","Blond Hair","Female Characters","Good Characters","Public Identity","1ee0452d-26a3-4a29-8b81-2e162ed9d5ac"
"Kent Nelson","Blue Eyes","Deceased Characters","422","1940, May","Blond Hair","Male Characters","Good Characters","Secret Identity","81ae4857-a736-4406-98c1-51ecd971318b"
"Harvey Bullock","Brown Eyes","Living Characters","413","1974, July","Black Hair","Male Characters","Good Characters","Public Identity","4f7b4442-bd9a-4fcc-898e-0942b38d7157"
"Rachel Roth","Purple Eyes","Living Characters","399","1980, October","Black Hair","Female Characters","Good Characters","Secret Identity","a71b899d-19e2-4755-9a23-1369e13e4c37"
"Helena Bertinelli","Blue Eyes","Living Characters","393","1989, April","Black Hair","Female Characters","Good Characters","Secret Identity","7e994b3f-5e08-4b35-b4f3-9f8e78e63116"
"Wesley Dodds","Brown Eyes","Deceased Characters","391","1939, April","Brown Hair","Male Characters","Good Characters","Secret Identity","1798c2d8-c585-4b88-acac-dc9ee9a42277"
"Uxas","Red Eyes","Deceased Characters","388","1970, December","","Male Characters","Bad Characters","Public Identity","0cb7512b-3752-42db-a681-9f4ce6ac5cde"
"Nathaniel Adam","Blue Eyes","Living Characters","386","1987, March","White Hair","Male Characters","Good Characters","Secret Identity","7537019f-8008-470e-bb31-5d3737c4c98f"
"Ronald Raymond","Blue Eyes","Living Characters","386","1978, March","","Male Characters","Good Characters","Secret Identity","219b5765-6dfb-4479-aa73-6c8f26fc7e72"
"Red Tornado","Green Eyes","Living Characters","374","1968, August","","Male Characters","Good Characters","Secret Identity","4b7854ed-6001-45a6-862c-b8ef25476761"
"John Constantine","Blue Eyes","Living Characters","371","1984, June","Blond Hair","Male Characters","Good Characters","Public Identity","57ab61d6-8975-4fe2-98d5-dd2f0134c00e"
"Albert Pratt","Blue Eyes","Deceased Characters","370","1940, October","Red Hair","Male Characters","Good Characters","Secret Identity","21f60491-1086-4e55-b355-7502b1f46bc4"
"Charles McNider","Blue Eyes","Deceased Characters","361","1941, April","Blond Hair","Male Characters","","Secret Identity","7dc641e4-ea5f-4e0d-abbc-79548a9cd2d4"
"Theodore Knight","Brown Eyes","Deceased Characters","356","1941, April","Brown Hair","Male Characters","Good Characters","Secret Identity","9bd90bc0-4e8c-4dff-ba9a-0300452c88b3"
"Lobo","Red Eyes","Living Characters","353","1983, June","Black Hair","Male Characters","Neutral Characters","Public Identity","bf41d009-2a93-409a-9aa1-c26fa47411e5"
"Perry White","Blue Eyes","Living Characters","350","1986, October","Brown Hair","Male Characters","","Public Identity","39500ea6-4cb1-4dde-b3f2-31f81b07face"
